id,network,name,state,lat,lon,elevation
02388,rr,Ihringen,Baden-Württemberg,48.0419,7.6322,193
02403,rr,Immenstadt,Bayern,47.5621,10.2157,727
02405,rr,Immenstadt-Reute,Bayern,47.6078,10.202,959
02407,rr,Ingelheim,Rheinland-Pfalz,49.9819,8.0461,90
02409,rr,Ingolstadt (Flussmeisterstelle),Bayern,48.7663,11.4537,367
02410,kl,Ingolstadt-Manching,Bayern,48.7111,11.5363,364
02411,rr,Schneverdingen-Osterwede,Niedersachsen,53.1327,9.7593,62
02412,rr,Inzell,Bayern,47.7756,12.724,683
02415,rr,Irschenberg-Kasthub,Bayern,47.8177,11.8681,713
02416,rr,Isen-Westach,Bayern,48.2022,12.0382,549
02419,rr,Iserlohn-Letmathe,Nordrhein-Westfalen,51.3513,7.6026,124
02429,kl,Itzehoe,Schleswig-Holstein,53.9897,9.5697,20
02431,rr,Itzgrund-Herreth,Bayern,50.1337,10.9317,367
02432,rr,Erxleben-Bregenstedt,Sachsen-Anhalt,52.2536,11.2293,146
02437,kl,Schleswig-Jagel,Schleswig-Holstein,54.457,9.5203,21
02438,rr,Uckerland-Karlstein,Brandenburg,53.4277,13.8167,41
02439,rr,Jagstzell,Baden-Württemberg,49.0347,10.0865,465
02444,kl,Jena (Sternwarte),Thüringen,50.9251,11.583,155
02446,rr,Gardelegen-Jerchel,Sachsen-Anhalt,52.4698,11.3309,60
02449,rr,"Söllingen, Kr. Helmstedt",Niedersachsen,52.0957,10.9328,91
02452,rr,Marxen,Niedersachsen,53.3052,10.0124,40
02453,rr,Jettenbach,Bayern,48.178,12.3798,403
02454,rr,Burgau,Bayern,48.4304,10.4011,480
02457,rr,Pöhl-Jocketa,Sachsen,50.5515,12.1833,380
02462,rr,Joldelund,Schleswig-Holstein,54.653,9.1381,20
02463,rr,"Jonsdorf, Kurort",Sachsen,50.8532,14.6919,425
02465,rr,Jork-Moorende,Niedersachsen,53.5083,9.7376,0
02472,rr,Blankenfelde-Mahlow-Jühnsdorf,Brandenburg,52.3194,13.3878,50
02473,rr,Jülich (Kläranlage),Nordrhein-Westfalen,50.9316,6.3431,76
02475,rr,Jüterbog,Brandenburg,51.9999,13.101,75
02480,kl,Kahl/Main,Bayern,50.0643,8.993,108
02481,rr,Kahla,Thüringen,50.8035,11.5845,167
02483,kl,Kahler Asten,Nordrhein-Westfalen,51.1803,8.4891,839
02485,kl,Kaisersbach-Cronhütte,Baden-Württemberg,48.917,9.6871,489
02486,kl,Kaiserslautern,Rheinland-Pfalz,49.4262,7.7557,271
02491,rr,Kalchreuth,Bayern,49.5581,11.1406,410
02492,rr,Kalefeld-Dögerode,Niedersachsen,51.8026,10.0653,194
02497,kl,Kall-Sistig,Nordrhein-Westfalen,50.5014,6.5264,505
02499,rr,Kallmünz,Bayern,49.1572,11.9604,366
02500,rr,"Kaltenborn, Hohe Acht",Rheinland-Pfalz,50.3953,6.9896,575
02502,rr,"Heiligenstadt, Heilbad-Kalteneber",Thüringen,51.318,10.1348,447
02505,rr,Kamen,Nordrhein-Westfalen,51.5854,7.6536,60
02511,rr,Kandel,Rheinland-Pfalz,49.0903,8.2159,123
02518,rr,Groß Kiesow-Schlagtow,Mecklenburg-Vorpommern,54.0117,13.4999,34
02521,rr,Karlshuld,Bayern,48.6725,11.3092,376
02523,rr,Karlsruhe-Wolfartsweier,Baden-Württemberg,48.9735,8.447,124
02526,rr,Karlstadt,Bayern,49.9551,9.776,174
02529,rr,Plau am See-Karow,Mecklenburg-Vorpommern,53.5433,12.273,73
02530,rr,Rabenau-Karsdorf,Sachsen,50.9429,13.7022,404
02531,rr,Karstädt/Prignitz,Brandenburg,53.1724,11.7491,32
02538,rr,"Kastl, Kreis Amberg-Sulzbach",Bayern,49.3658,11.6925,425
02541,rr,Katzhütte,Thüringen,50.5467,11.0317,452
02544,rr,Kaufungen-Niederkaufungen,Hessen,51.2857,9.6025,185
02546,rr,Kehl-Odelshofen,Baden-Württemberg,48.5576,7.88,140
02550,rr,Kelheim,Bayern,48.9244,11.85,350
02557,rr,Bernstadt a. d. Eigen-Kemnitz,Sachsen,51.0559,14.7967,324
02559,kl,Kempten,Bayern,47.7233,10.3348,705
02562,rr,Helbedündorf-Keula,Thüringen,51.334,10.529,428
02564,kl,Kiel-Holtenau,Schleswig-Holstein,54.3776,10.1424,28
02573,kl,Waging am See-Schnöbling,Bayern,47.9588,12.7717,470
02575,kl,Kirchberg/Jagst-Herboldshausen,Baden-Württemberg,49.1804,9.98,432
02577,rr,"Kirchdorf, Kreis Diepholz",Niedersachsen,52.6007,8.8522,34
02578,kl,Kirchdorf/Poel,Mecklenburg-Vorpommern,53.9995,11.4341,14
02582,rr,Vorbach-Höflas,Bayern,49.818,11.7088,450
02584,rr,Hatten-Dingstede,Niedersachsen,53.0292,8.4227,31
02595,rr,Kirn,Rheinland-Pfalz,49.789,7.4853,181
02597,kl,"Kissingen, Bad",Bayern,50.224,10.0792,282
02598,rr,Kißlegg,Baden-Württemberg,47.7746,9.9096,698
02600,kl,Kitzingen,Bayern,49.7363,10.1781,193
02601,kl,Kleiner Feldberg/Taunus,Hessen,50.2218,8.4469,822
02604,rr,Forst-Klein Bademeusel,Brandenburg,51.6725,14.7446,87
02617,rr,Warmsen-Morlinge,Niedersachsen,52.42,8.891,49
02618,kl,Kleiner Inselsberg,Thüringen,50.8458,10.4803,732
