station,temp_mean,temp_max,temp_min,precipitation,wind_max,wind_mean,sunshine,cloud,pressure,humidity,snow
01297,17.3,21.1,12.1,0,,,,,,77.04,
01298,,,,0,,,,,,,0
01300,16.2,20.1,10.2,0,,,,,,83.42,
01303,18.8,24,14.7,0,7.6,2.1,5.183,3.5,1001.27,76.17,0
01304,,,,0,,,,,,,
01305,,,,0,,,,,,,0
01309,,,,0,,,,,,,0
01313,,,,0,,,,,,,
01317,,,,0,,,,,,,0
01320,,,,0,,,,,,,
01322,,,,0,,,,,,,0
01325,,,,0,,,,,,,0
01327,20.1,26.7,13.4,0,,,,,,67.46,
01332,19.5,26.1,13.4,0,,,,,,62.63,
01333,,,,0,,,,,,,0
01336,,,,0,,,,,,,
01339,16.5,,,0,,,,5.1,1006.97,76,0
01343,,,,0,,,,,,,
01346,16.1,19.2,13.2,0,12.2,4.6,14.867,0.3,853.92,67.25,0
01350,,,,0,,,,,,,
01351,,,,0,,,,,,,0
01357,15.8,21.4,10,0,8.3,1.8,,,,72.67,
01358,11,16.2,6.9,0,14.8,9,11.383,3.2,880.71,81.08,0
01365,,,,0,,,,,,,0
01366,,,,0,,,,,,,
01369,,,,0,,,,,,,0
01374,,,,0,,,,,,,0
01379,,,,,9.5,4.4,,,,,
01382,,,,0,,,,,,,0
01384,,,,0,,,,,,,0
01392,,,,0,,,,,,,
01397,,,,0,,,,,,,0
01401,,,,0,,,,,,,0
01404,,,,0,,,,,,,0
01408,,,,0,,,,,,,0
01411,15.2,20.1,12,0,,,,,,80.21,
01413,,,,0,,,,,,,0
01420,22.5,29.4,14.2,0,11.2,2.6,13.233,1.3,1005.09,58.17,0
01424,22.2,29.9,16.2,0,,,,,,60.75,
01426,,,,0,,,,,,,0
01429,,,,0,,,,,,,0
01432,,,,0,,,,,,,0
01435,,,,0,,,,,,,
01440,,,,0,,,,,,,0
01441,,,,0,,,,,,,
01443,23.5,30.8,14.7,0,10.8,2.5,14.317,0.4,988.12,54.96,0
01451,17.2,19,15.2,0,,,,,,82.38,
01458,,,,0,,,,,,,
01459,,,,0,,,,,,,0
01466,,,,0,,,,,,,0
01468,19.8,26.3,12.4,0,8.1,2.3,,0,926.39,61.13,0
01470,,,,0,,,,,,,0
01473,,,,0,,,,,,,0
01490,,,,,7.3,3.1,,,,,
01494,,,,0,,,,,,,0
01495,,,,0,,,,,,,
01497,,,,0,,,,,,,
01498,,,,0,,,,,,,0
01503,18.3,23.5,15.5,0,8.4,3,2.817,6.8,1018.01,80.63,0
01504,17.6,,,0,,,,4.5,996.95,74.67,0
01511,,,,0,,,,,,,
01514,,,,0,,,,,,,0
01516,,,,0,,,,,,,
01517,,,,0,,,,,,,0
01519,,,,0,,,,,,,0
01526,18.9,25.8,11.5,0,,,,,,70.88,
01528,,,,0,,,,,,,0
01530,,,,0,,,,,,,0
01534,,,,0,,,,,,,0
01537,,,,0,,,,,,,0
01542,,,,0,,,,,,,
01544,16.5,22.8,10.6,0,6.7,2.1,,4.7,1011.7,76,0
01550,19.8,26.3,12.9,0,10.5,2,12.317,2.7,934.75,67.5,0
01551,,,,0,,,,,,,0
01561,,,,0,,,,,,,
01572,19.9,,,0,,,,1.6,1009.13,70.42,0
01573,,,,0,,,,,,,
01575,,,,0,,,,,,,0
01577,,,,0,,,,,,,0
01578,,,,0,,,,,,,
01580,23.4,29.8,15.6,0,7.5,2.1,,0.2,1004.28,57.75,0
01587,18.3,23.6,13.3,0,9.2,3.1,,1.8,955.22,66.75,0
01588,,,,0,,,,,,,0
01590,19.4,26.2,12.2,0,,,,,,72.92,
01595,,,,0,,,,,,,
01598,,,,0,,,,,,,
01601,,,,0,,,,,,,0
01602,23.7,30.7,15.7,0,,,,,,55.83,
01605,17.3,22.5,11.9,0,8.7,3.3,,4,1012.53,71.71,0
01607,,,,0,,,,,,,
01612,17.4,23.2,11.8,0,8.7,3.1,,2.3,981.13,70.25,0
01619,,,,0,,,,,,,0
01621,,,,0,,,,,,,0
01627,,,,0,,,,,,,0
01639,20.7,27.8,14.2,0,8.7,2.5,9.283,3.6,993.55,64.46,0
01641,,,,0,,,,,,,0
01642,,,,0,,,,,,,
01645,16.9,23.5,9.6,0,,,,,,80,
01647,,,,0,,,,,,,0
01648,,,,0,,,,,,,0
01650,,,,0,,,,,,,
01652,,,,0.1,,,,,,,0
01654,,,,0,,,,,,,0
01666,17.3,,,0,,,,,1012.41,78.71,
01669,,,,0,,,,,,,
01674,,,,0,,,,,,,0
01679,,,,0,,,,,,,0
01680,,,,0,,,,,,,0
01682,,,,0,,,,,,,0
01684,18.1,24.2,12,0,10.1,3.4,13.05,2.8,987.09,60.33,0
01689,,,,0,,,,,,,
01693,,,,0,,,,,,,0
01694,17.2,22.9,11.8,0,8,3.4,,2.9,1008.9,75.21,0
01697,,,,0,,,,,,,0
01710,,,,0,,,,,,,
01711,,,,0,,,,,,,
01714,,,,0,,,,,,,0
01716,,,,0,,,,,,,0
01717,,,,0,,,,,,,
01721,17.8,24,12.1,0,,,,,,69.17,
01722,,,,0,,,,,,,0
01723,,,,0,,,,,,,0
01724,,,,0,,,,,,,0
01726,,,,0,,,,,,,0
01727,,,,0,,,,,,,0
01729,,,,0,,,,,,,0
01730,,,,0,,,,,,,0
01734,,,,0,,,,,,,0
01735,17.5,23.4,9.2,0,,,,,,61.63,
01736,17.1,22.6,12.5,0,,,,,,77.25,
01742,,,,0,,,,,,,0
01744,,,,0,,,,,,,
01746,,,,0,,,,,,,0
01747,,,,0,,,,,,,0
01750,,,,0,,,,,,,
01751,,,,0,,,,,,,0
01754,,,,0,,,,,,,0
01757,17.8,22.6,13.4,0,9.5,4.1,,2.7,1014.12,73.17,0
01759,17.5,20,14.9,0,13.1,7.1,,1.7,1012.9,81.75,0
01764,,,,0,,,,,,,0
